Volcano_Name;Country;Type;LAT;LON
Babuyon Claro;Philippines;Stratovolcano;19.50;121.90
Bachelor;United States;Stratovolcano;43.80;121.60
Bagana;Papua New Guinea;Cinder Cone;-6.10;155.20
Baker;United States;Stratovolcano;48.79;-121.82
Bam;Papua New Guinea;Stratovolcano;-3.60;144.85
Bamus;Papua New Guinea;Stratovolcano;-5.20;151.20
Bandai;Japan;Stratovolcano;37.60;140.10
Barren Island;India;Pyroclastic cone;12.29;93.88
Barrier;Kenya;Complex;2.32;36.57
Bazman;Iran;Stratovolcano;28.00;60.00
Beerenberg;Norway;Stratovolcano;71.10;-8.20
Belknap;United States;Shield;44.28;-121.83
Bezymianny;Russia;Stratovolcano;55.98;160.58
Biliran;Philippines;Complex;11.50;124.50
Bolshoi Semiachik;Russia;Stratovolcano;54.32;160.02
Bulusan;Philippines;Stratovolcano;12.80;124.10
Butajira;Ethiopia;Fissure vent, Maar;8.05;38.35
Cameroon (Mount);Cameroon;Stratovolcano;4.20;9.17
Camiguin de Babuyanes;Philippines;Stratovolcano;18.83;121.85
Canlaon;Philippines;Stratovolcano;10.41;123.13
Capulin;United States;Cinder Cone;36.45;-104.09
Carrizozo;United States;Volcanic field;33.70;-106.00
Cayambe;Ecuador;Stratovolcano;0.03;-77.99
Cereme;Indonesia;Stratovolcano;-6.90;108.41
Chaine des Puys;France;Lava dome;45.78;2.97
Chiginagak;United States;Stratovolcano;57.13;-156.99
Chikurachki;Russia;Stratovolcano;50.33;155.46
Chimborazo;Ecuador;Stratovolcano;-1.46;-78.82
Cleveland;United States;Stratovolcano;52.83;-169.95
Coatepeque;El Salvador;Caldera;13.86;-89.54
Colima;Mexico;Stratovolcano;19.51;103.62
Concepción;Nicaragua;Stratovolcano;11.50;85.60
Copahue;Argentina;Stratovolcano;-37.85;-71.17
Cosigüina;Nicaragua;Shield;12.98;-87.56
Cotopaxi;Ecuador;Stratovolcano;-0.68;-78.44
Crater Lake;United States;Caldera;42.94;-122.11
Craters of the Moon;United States;Volcanic field;43.42;-113.50
Daisetsu;Japan;Stratovolcano;43.70;142.90
Dakataua;Papua New Guinea;Caldera;-5.00;150.10
Damavand;Iran;Stratovolcano;35.95;52.11
Dempo;Indonesia;Stratovolcano;-4.00;103.10
Devils Garden;United States;Volcanic field;43.50;-120.90
Devils Tower;United States;Plug;44.60;-104.70
Diamond Craters;United States;Volcanic field;43.10;-118.70
Dieng Volcanic Complex;Indonesia;Complex;-7.20;109.90
Diky Greben;Russia;Lava dome;51.46;156.98
Dubbi;Eritrea;Stratovolcano;13.60;41.80
Dukono;Indonesia;Complex;1.70;127.87
East Epi;Vanuatu;Caldera;-16.70;168.40
Ebeko;Russia;Somma;50.68;156.02
Egmont (Taranaki);New Zealand;Stratovolcano;-39.30;174.10
Egon;Indonesia;Stratovolcano;-8.70;122.45
El Chichon;Mexico;Caldera;17.36;-93.23
Elbrus;Russia;Stratovolcano;43.33;42.45
Erebus;Antarctica;Stratovolcano;-77.50;167.20
Erta Ale;Ethiopia;Shield;13.60;40.70
Etna;Italy;Stratovolcano;37.73;15.00
Fantale;Ethiopia;Stratovolcano;8.98;39.93
Fernandina;Ecuador;Caldera;-0.37;-91.55
Fisher;United States;Stratovolcano;-54.63;-164.42
Fogo;Cape Verde Islands;Stratovolcano;14.95;-24.35
Fort Rock;United States;Maar;43.37;-121.07
Frosty Peak;United States;Stratovolcano;55.08;-162.81
Fuego;Guatemala;Stratovolcano;14.47;-90.88
Fuerteventura;Spain;Fissure vent;28.36;-14.02
Fuji;Japan;Stratovolcano;35.36;138.73
Furnas;Portugal;Stratovolcano;37.76;-25.33
Fuss Peak;Russia;Stratovolcano;50.27;155.25
Galeras;Colombia;Stratovolcano;1.22;-77.37
Galunggung;Indonesia;Stratovolcano;-7.26;108.08
Gamalama;Indonesia;Stratovolcano;0.81;127.33
Gamchen;Russia;Stratovolcano;54.97;160.68
Gamkonora;Indonesia;Stratovolcano;1.38;127.53
Gareloi;United States;Stratovolcano;51.80;178.80
Gaua;Vanuatu;Stratovolcano;-14.27;167.50
Gede;Indonesia;-;-6.77;106.94
Glacier Peak;United States;Stratovolcano;48.11;-121.11
Gorely;Russia;Caldera;52.56;158.03
Graciosa;Portugal;Stratovolcano;39.02;-27.97
Gran Canaria;Spain;Fissure vent;28.00;15.58
